no,type,data1,case1,case2,case3,case4,img
1,1,"RS바이러스 감염증(RS virus infection)","기침, 코막힘, 가래, 청색증, 열, 콧물, 빈호흡","급성 기관지염, 상기도 감염, 폐렴",감염내과,"RSV,RS바이러스,RS바이러스 감염,알에스바이러스,호흡기세포융합바이러스,호흡기세포융합바이러스 감염증",1_1.jpg
2,1,"WPW 증후군(Wolff-Parkinson-White syndrome)","무증상, 빈맥, 자율신경장애, 돌연사","발작성 상심실성 빈맥, 심계항진, 부정맥",,"볼프파킨스화이트증후군,볼프파킨슨화이트증후군,빈맥증후군,심실조기흥분증후군,조기흥분증후군",1_2.jpg
5,1,"거대 유방(Macromastia, Gigantomastia, large breast, hypermas)",,"거대 유방",성형외과,,1_5.jpg
7,1,공기가슴증(기흉)(Pneumothorax),"가슴 통증, 호흡곤란","폐기종, 만성 폐쇄성 폐질환","호흡기내과, 흉부외과","기흉,폐기흉",1_7.jpg
8,1,"과호흡 증후군(Hyperventilation syndrome)","흉부압박감, 불안, 의식 변화, 인지장애, 복부팽만감, 부정맥, 호흡곤란, 복부 통증, 가슴 두근거림","호흡성 알칼리증, 패혈증, 불안 장애, 저체온증, 대사성 산증, 천식","호흡기내과, 응급의학과, 정신건강의학과","과다호흡,과다호흡증,과다호흡증후군,과호흡,과호흡증,과환기증후군",1_8.jpg
10,1,"급성 관동맥 증후군(Acute Coronary Syndrome)","가슴 통증, 방사통, 호흡곤란, 오심, 어지러움","고혈압, 급성 심근경색증, 당뇨병, 협심증, 죽상경화증, 불안정형 협심증, 고콜레스테롤혈증","심장내과, 흉부외과","ACS,급성 협심증",1_10.jpg
12,1,"급성 류마티스성 열(Acute Rheumatic fever)","다발성 관절염, 빈맥, 열, 복부 통증, 발진, 비출혈, 결절","성홍열, 류마티스 관절염, 상기도 감염, 승모판 기능부전, 심근염","응급의학과, 어린이병원","급성 류머티스 열,류마티스 열,류마티스성열,류머트열,류머티스 열,류머티스성열",1_12.jpg
13,1,"급성 심근경색증(Acute myocardial infarction)","창백, 가슴 통증, 발한, 구토, 오심, 호흡곤란, 불안","허혈성 심질환, 오래된 심근경색증, 협심증","심장내과, 심장병원","급성 심근경색,동맥증후군,심근경색,심근경색증",1_13.jpg
14,1,"기관 협착(Stenosis of trachea)","사래걸림, 호흡곤란, 반복되는 폐렴","폐 전이, 소세포성 폐암, 폐암, 비소세포성 폐암","호흡기내과, 이비인후과, 소아천식아토피센터","기관지 협착",1_14.jpg
15,1,"기관지폐 형성이상(Bronchopulmonary dysplasia)","흉곽 팽윤, 호기의 증가, 고탄산증, 저산소증, 수유 곤란, 천식","만성 폐질환, 신생아 호흡곤란증후군","신생아과, 소아천식아토피센터","폐 이형성증,기관지폐 이형성증",1_15.jpg
16,1,기관지확장증(Bronchiectasis),"객혈, 곤봉지, 체중감소, 빈혈, 기침, 천명음, 가래","폐결핵, 홍역, 폐렴, 폐암, 폐 농양, 백일해, 객혈",호흡기내과,기관지확장병,1_16.jpg
17,1,"난원공 개존증(Patent Foramen Ovale)","피로감, 운동 시 호흡곤란","뇌졸중, 심실 중격 결손, 동맥관 개존증, 심방 중격 결손, 총동맥간증",소아청소년심장과,,1_17.jpg
19,1,노카르디아증(Nocardiosis),"체중감소, 기침, 열, 객혈","뇌농양, 폐렴, 박테리아성 뇌수막염","감염내과, 소아감염과","노카르디아 폐렴",1_19.jpg
20,1,"농흉(Pyothorax, Empyema)","마찰음 , 기침, 가슴 답답, 호흡곤란, 빈맥, 흉부압박감, 화농성 객담, 가슴 통증, 빈호흡","폐결핵, 폐렴, 공기가슴증(기흉)",호흡기내과,,1_20.jpg
23,1,"대동맥 박리(Aortic dissection)","어깨의 통증, 복부 통증, 오심, 돌연사, 요관 폐쇄, 헛배, 구토, 실신, 저혈량 쇼크, 요통","마르판 증후군 , 고혈압","심장내과, 심장병원","대동맥 박리증,박리성 대동맥류",1_23.jpg
25,1,"대동맥 협착증(Coarctation of aorta)","혈변, 고혈압, 폐동맥 고혈압, 수유 곤란, 호흡곤란, 무뇨, 운동 시 호흡곤란, 저림, 신부전, 쇼크, 하지의 근력약화, 발육부전","울혈성 심부전, 신생아 괴사성 장염, 심실 중격 결손, 고혈압, 급성 신부전, 폐성 고혈압","심장내과, 심장병원","대동맥 판막 협착증,대동맥축착증",1_25.jpg
27,1,"대동맥류(Aortic aneurysm)","복부 통증, 가슴 통증, 실신","뇌동맥류, 동맥류, 흉부 대동맥류, 발살바동 동맥류 파열, 복부 대동맥류","심장내과, 심장병원",,1_27.jpg
28,1,"대동맥판막 기능부전(Aortic (valve) insufficiency)","가래, 자율신경장애, 가슴 통증, 무증상, 기침, 호흡곤란","대동맥판막 협착, 심장 판막 질환, 심내막염, 대동맥 박리","심장내과, 심장병원","Aortic insufficiency,대동맥판막 기능부전증,대동맥판폐쇄부전,대동맥판폐쇄부전증",1_28.jpg
29,1,"대동맥판막 협착(Aortic (valve) stenosis)","호흡곤란, 기침, 가래, 무증상, 자율신경장애, 가슴 통증","대동맥판막 기능부전, 류마티스 관절염, 심내막염, 심장 판막 질환","심장내과, 심장병원","대동맥 판 협착,대동맥 판 협착증,대동맥 판막 협착증",1_29.jpg
30,1,"대혈관 전위(Transposition of great artery)","청색증, 빈맥, 호흡곤란","심실 중격 결손, 선천성 심장 질환, 울혈성 심부전, 양대혈관 우심실 기시증","소아청소년심장과, 신생아과, 소아심장외과, 선천성심장병센터","완전 대혈관 전위증",1_30.jpg
31,1,"동기능 부전 증후군(Sick sinus syndrome)","가슴 두근거림, 자율신경장애, 호흡곤란, 어지러움, 가슴 통증","부정맥, 오래된 심근경색증, 심장 판막 질환, 심근병증",,"동기능부전증,동방결절기능부전,동방결절기능부전증,동방결절기능부전증후군",1_31.jpg
32,1,"동맥간증(Truncus arteriosus)","호흡곤란, 청색증, 수유 곤란, 발육부전","선천성 심장 질환, 폐성 고혈압","소아청소년심장과, 소아심장외과, 선천성심장병센터","동맥간,동맥간 지속성 동맥줄기",1_32.jpg
33,1,"동맥관 개존증(Patent ductus arteriosus)","발육부전, 심잡음, 무증상","선천성 심장 질환, 울혈성 심부전, 다운 증후군 , 폐성 고혈압, 풍진, 심내막염","심장내과, 소아청소년심장과, 소아심장외과, 선천성심장병센터",보탈로동맥관개존증,1_33.jpg
34,1,"라임병(Lyme disease)","발진, 피로감, 수면장애, 오한, 안구혼탁, 관절통, 근육통, 두통, 열",관절염,"감염내과, 피부과",,1_34.jpg
36,1,"만성 기관지염(Chronic bronchitis)","운동 시 호흡곤란, 객혈, 기침, 가래","알레르기 비염, 폐결핵, 천식","호흡기내과, 알레르기내과",만성폐색성기관지염,1_36.jpg
38,1,"만성 폐쇄성 폐질환(Chronic obstructive pulmonary disease)","흉곽 팽윤, 운동 시 호흡곤란, 천명음, 곤봉지, 가래, 피로감, 기침, 호흡곤란","만성 기침, 가습기 살균제 연관 폐질환, 미만성 간질성 폐질환, 만성 폐질환","호흡기내과, 알레르기내과",COPD,1_38.jpg
40,1,"미만성 간질성 폐질환(Diffuse Interstitial lung disease)","체중감소, 호흡곤란, 곤봉지, 가래, 운동 시 호흡곤란, 기침, 열","특발성 폐섬유화증, 류마티스 관절염, 진폐증, 전신 경화증",호흡기내과,"간질성 폐질환,미만성 침윤성 폐질환,특발성 간질성 폐렴,폐섬유증,폐섬유화증",1_40.jpg
41,1,"발살바동 동맥류 파열(Ruptured sinus of valsava aneurysm)","가슴 통증, 호흡곤란, 심인성 쇼크, 피로감, 가슴 두근거림, 무증상, 폐부종","전신 홍반성 낭창, 류마티스 관절염, 심내막염, 죽상경화증, 매독, 마르판 증후군",흉부외과,발살바동동맥류,1_41.jpg
42,1,"발육부전성 좌심 증후군(Hypoplastic left heart syndrome)","심부전, 창백, 호흡곤란, 축 늘어짐, 수유 곤란, 소변량 감소, 구토, 청색증, 보챔, 쇼크","심장 판막 질환, 승모판 협착, 대동맥판막 협착, 선천성 심장 질환","소아청소년심장과, 소아심장외과, 선천성심장병센터","좌심 형성 부전 증후군",1_42.jpg
43,1,"발작성 상심실성 빈맥(Paroxysmal Supraventricular Tachycardia)","호흡곤란, 가슴 두근거림, 어지러움","부정맥, 심방 세동, 심실 빈맥, 심계항진",,"PSVT,발작성 심실상성 빈맥,방실결절 회귀성 빈맥,방실회귀성 빈맥",1_43.jpg
44,1,"발진티푸스(Epidemic typhus)","근육통, 두통, 열, 오한, 권태감","파라티푸스, 장티푸스",감염내과,발진타이푸스,1_44.jpg
