no,area,name,disease,grade,lat,log,img
1,수원시,"가톨릭대학교 성빈센트병원",폐암,1등급,37.277900004,127.0275302,1.JPG
2,의정부시,가톨릭대학교의정부성모병원,폐암,1등급,37.758286934,127.0776539,2.JPG
3,고양시,국립암센터,폐암,1등급,37.663487713,126.78348711,3.JPG
4,안산시,대아의료재단한도병원,폐암,등급제외,37.333947189,126.80758098,4.JPG
5,고양시,동국대학교일산불교병원,폐암,1등급,37.676321861,126.80642636,5.JPG
6,부천시,순천향대학교부속부천병원,폐암,1등급,37.498315818,126.7626886,6.JPG
7,가평군,에이치제이매그놀리아국제병원,폐암,등급제외,37.690887321,127.52138823,7.JPG
8,고양시,의료법인명지의료재단명지병원,폐암,1등급,37.642302945,126.8305136,8.JPG
9,평택시,의료법인양진의료재단평택성모병원,폐암,등급제외,37.008323713,127.07409292,9.JPG
10,고양시,인제대학교일산백병원,폐암,1등급,37.674125245,126.75051585,10.JPG
11,화성시,한림대학교동탄성심병원,폐암,1등급,37.216580287,127.0799664,11.JPG
12,구리시,한양대학교구리병원,폐암,3등급,37.601120217,127.1323955,12.JPG
13,군포시,"효산의료재단 지샘병원",폐암,1등급,37.358611982,126.94729077,13.JPG
14,부천시,가톨릭대학교부천성모병원,폐암,1등급,37.486956822,126.79234882,14.JPG
15,안산시,고려대학교의과대학부속안산병원,폐암,1등급,37.319225227,126.82516204,15.JPG
16,고양시,국민건강보험공단일산병원,폐암,1등급,37.645494253,126.79276331,16.JPG
17,성남시,"대진의료재단 분당제생병원",폐암,1등급,37.387667901,127.12187606,17.JPG
18,성남시,분당서울대학교병원,폐암,1등급,37.349705884,127.12418623,18.JPG
19,수원시,아주대학교병원,폐암,1등급,37.279984281,127.04819942,19.JPG
20,군포시,원광대학교의과대학산본병원,폐암,등급제외,37.359334556,126.93356444,20.JPG
21,평택시,의료법인백송의료재단굿모닝병원,폐암,등급제외,36.990553789,127.12046836,1.JPG
22,김포시,의료법인우리의료재단김포우리병원,폐암,등급제외,37.63202129,126.71071315,2.JPG
23,성남시,차의과학대학교분당차병원,폐암,1등급,37.410162674,127.12520985,3.JPG
24,안양시,한림대학교성심병원,폐암,1등급,37.391441787,126.96178865,4.JPG
25,안양시,"효산의료재단 안양샘병원",폐암,4등급,37.393468246,126.92451009,5.JPG
26,부천시,순천향대학교부속부천병원,위암,1등급,37.498315818,126.7626886,1.JPG
27,남양주시,양병원,위암,등급제외,37.633444031,127.2051383,2.JPG
28,오산시,오산한국병원,위암,등급제외,37.141111981,127.07521888,3.JPG
29,수원시,"의료법인 녹산의료재단동수원병원",위암,1등급,37.278574295,127.03383347,4.JPG
30,고양시,의료법인명지의료재단명지병원,위암,1등급,37.642302945,126.8305136,5.JPG
31,안산시,의료법인서전의료재단한사랑병원,위암,등급제외,37.307148129,126.84840439,6.JPG
32,김포시,의료법인우리의료재단김포우리병원,위암,1등급,37.63202129,126.71071315,7.JPG
33,부천시,의료법인혜원의료재단세종병원,위암,등급제외,37.480900213,126.79126914,8.JPG
34,화성시,한림대학교동탄성심병원,위암,1등급,37.216580287,127.0799664,9.JPG
35,성남시,분당서울대학교병원,위암,1등급,37.349705884,127.12418623,10.JPG
36,수원시,수원중앙병원,위암,등급제외,37.259853294,127.02277847,11.JPG
37,수원시,아주대학교병원,위암,1등급,37.279984281,127.04819942,12.JPG
38,용인시,"연세대학교 의과대학 용인세브란스병원",위암,2등급,37.238831545,127.18918079,13.JPG
39,군포시,원광대학교의과대학산본병원,위암,등급제외,37.359334556,126.93356444,14.JPG
40,평택시,"의료법인 박애의료재단 박애병원",위암,등급제외,36.993049753,127.08895157,15.JPG
41,평택시,의료법인백송의료재단굿모닝병원,위암,1등급,36.990553789,127.12046836,16.JPG
42,평택시,의료법인양진의료재단평택성모병원,위암,등급제외,37.008323713,127.07409292,17.JPG
43,김포시,의료법인인봉의료재단뉴고려병원,위암,등급제외,37.640795391,126.65999943,18.JPG
44,고양시,인제대학교일산백병원,위암,1등급,37.674125245,126.75051585,19.JPG
45,성남시,차의과학대학교분당차병원,위암,1등급,37.410162674,127.12520985,20.JPG
46,수원시,"가톨릭대학교 성빈센트병원",위암,1등급,37.277900004,127.0275302,1.JPG
47,부천시,가톨릭대학교부천성모병원,위암,1등급,37.486956822,126.79234882,2.JPG
48,의정부시,가톨릭대학교의정부성모병원,위암,1등급,37.758286934,127.0776539,3.JPG
49,안산시,고려대학교의과대학부속안산병원,위암,1등급,37.319225227,126.82516204,4.JPG
50,광명시,광명성애병원,위암,등급제외,37.473322332,126.87165609,5.JPG
51,고양시,국립암센터,위암,1등급,37.663487713,126.78348711,6.JPG
52,남양주시,"남양주 한양병원",위암,등급제외,37.68282672,127.20475082,7.JPG
53,안산시,단원병원,위암,등급제외,37.300176487,126.81282275,8.JPG
54,용인시,"(의)영문의료재단 다보스병원",위암,등급제외,37.231550258,127.21137323,9.JPG
55,고양시,동국대학교일산불교병원,위암,1등급,37.676321861,126.80642636,10.JPG
56,성남시,성남중앙병원,위암,2등급,37.452718291,127.16200953,11.JPG
57,안양시,한림대학교성심병원,위암,1등급,37.391441787,126.96178865,12.JPG
58,구리시,한양대학교구리병원,위암,1등급,37.601120217,127.1323955,13.JPG
59,남양주시,현대병원,위암,등급제외,37.715436732,127.17967258,14.JPG
60,안양시,"효산의료재단 안양샘병원",위암,1등급,37.393468246,126.92451009,15.JPG
61,군포시,"효산의료재단 지샘병원",위암,1등급,37.358611982,126.94729077,16.JPG
62,고양시,국민건강보험공단일산병원,위암,1등급,37.645494253,126.79276331,17.JPG
63,안산시,대아의료재단한도병원,위암,1등급,37.333947189,126.80758098,18.JPG
64,성남시,"대진의료재단 분당제생병원",위암,1등급,37.387667901,127.12187606,19.JPG
65,수원시,"가톨릭대학교 성빈센트병원",유방암,1등급,37.277900004,127.0275302,1.JPG
66,부천시,가톨릭대학교부천성모병원,유방암,1등급,37.486956822,126.79234882,2.JPG
67,수원시,"경기도의료원 수원병원",유방암,등급제외,37.291904336,126.99636353,3.JPG
68,안산시,고려대학교의과대학부속안산병원,유방암,1등급,37.319225227,126.82516204,4.JPG
69,고양시,국립암센터,유방암,1등급,37.663487713,126.78348711,5.JPG
70,안산시,단원병원,유방암,등급제외,37.300176487,126.81282275,6.JPG
71,성남시,"대진의료재단 분당제생병원",유방암,1등급,37.387667901,127.12187606,7.JPG
72,고양시,박세호여성외과의원,유방암,등급제외,37.669853737,126.76302093,8.JPG
73,성남시,분당서울대학교병원,유방암,1등급,37.349705884,127.12418623,9.JPG
74,수원시,수원중앙병원,유방암,등급제외,37.259853294,127.02277847,10.JPG
75,부천시,순천향대학교부속부천병원,유방암,1등급,37.498315818,126.7626886,11.JPG
76,수원시,아주대학교병원,유방암,1등급,37.279984281,127.04819942,12.JPG
77,오산시,오산한국병원,유방암,등급제외,37.141111981,127.07521888,13.JPG
78,수원시,"의료법인 녹산의료재단동수원병원",유방암,등급제외,37.278574295,127.03383347,14.JPG
79,평택시,의료법인백송의료재단굿모닝병원,유방암,등급제외,36.990553789,127.12046836,15.JPG
80,평택시,의료법인양진의료재단평택성모병원,유방암,등급제외,37.008323713,127.07409292,16.JPG
81,부천시,의료법인혜원의료재단세종병원,유방암,등급제외,37.480900213,126.79126914,17.JPG
82,안양시,"인산의료재단 메트로병원",유방암,등급제외,37.378085701,126.93539882,18.JPG
83,고양시,인제대학교일산백병원,유방암,1등급,37.674125245,126.75051585,19.JPG
84,성남시,차의과학대학교분당차병원,유방암,1등급,37.410162674,127.12520985,20.JPG
85,화성시,한림대학교동탄성심병원,유방암,1등급,37.216580287,127.0799664,1.JPG
86,안양시,한림대학교성심병원,유방암,1등급,37.391441787,126.96178865,2.JPG
87,구리시,한양대학교구리병원,유방암,1등급,37.601120217,127.1323955,3.JPG
88,안양시,"효산의료재단 안양샘병원",유방암,등급제외,37.393468246,126.92451009,4.JPG
89,고양시,의료법인명지의료재단명지병원,유방암,1등급,37.642302945,126.8305136,5.JPG
90,안산시,의료법인서전의료재단한사랑병원,유방암,4등급,37.307148129,126.84840439,6.JPG
91,김포시,의료법인우리의료재단김포우리병원,유방암,등급제외,37.63202129,126.71071315,7.JPG
92,용인시,"(의)영문의료재단 다보스병원",유방암,등급제외,37.231550258,127.21137323,8.JPG
93,의정부시,가톨릭대학교의정부성모병원,유방암,1등급,37.758286934,127.0776539,9.JPG
94,의정부시,경기도의료원의정부병원,유방암,등급제외,37.741041721,127.04243187,10.JPG
95,광명시,광명성애병원,유방암,등급제외,37.473322332,126.87165609,11.JPG
96,고양시,국민건강보험공단일산병원,유방암,1등급,37.645494253,126.79276331,12.JPG
97,안산시,대아의료재단한도병원,유방암,3등급,37.333947189,126.80758098,13.JPG
98,고양시,동국대학교일산불교병원,유방암,1등급,37.676321861,126.80642636,14.JPG
99,수원시,박희붕외과의원,유방암,3등급,37.26151889,127.02945255,15.JPG
100,성남시,성남중앙병원,유방암,등급제외,37.452718291,127.16200953,16.JPG
101,성남시,"순천의료재단 정병원",유방암,등급제외,37.439774736,127.12896434,17.JPG
102,수원시,쉬즈메디병원,유방암,등급제외,37.274241516,127.02900602,18.JPG
103,용인시,"연세대학교 의과대학 용인세브란스병원",유방암,등급제외,37.238831545,127.18918079,19.JPG
104,용인시,용한외과의원,유방암,등급제외,37.324618987,127.09735005,20.JPG
105,수원시,한마음외과의원,유방암,등급제외,37.255465552,127.02106395,1.JPG
106,남양주시,현대병원,유방암,등급제외,37.715436732,127.17967258,2.JPG
107,군포시,"효산의료재단 지샘병원",유방암,1등급,37.358611982,126.94729077,3.JPG
108,부천시,서울중앙내과의원,고혈압,1등급,37.482735201,126.81057492,1.JPG
109,이천시,서울중앙의원,고혈압,1등급,37.291295566,127.4544314,2.JPG
110,고양시,서울중앙의원,고혈압,1등급,37.646465105,126.83656604,3.JPG
111,광주시,서울하나의원,고혈압,1등급,37.387114246,127.28780826,4.JPG
112,안양시,서울황제내과의원,고혈압,1등급,37.391835553,126.95469673,5.JPG
113,성남시,서현서울내과의원,고혈압,1등급,37.386089443,127.12354473,6.JPG
114,성남시,선내과의원,고혈압,1등급,37.349510936,127.11154539,7.JPG
115,안산시,선부한빛의원,고혈압,1등급,37.343168156,126.8153552,8.JPG
